endpoint_index,port,location,connector,connector_pin,module_net,bank,io_type,source
43,cbus_mrc_n,W21,C2400,4,BANK4_W21_IOB124A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
44,cbus_mwc_n,Y21,C2400,5,BANK4_Y21_IOB131A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
45,cbus_mwe_n,V20,C2400,6,BANK4_V20_IOB120B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
46,cbus_bhe_n,AB22,C2400,7,BANK4_AB22_IOB129B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
47,cbus_reset_n,U20,C2400,8,BANK4_U20_IOB120A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
48,cbus_power_n,AB21,C2400,9,BANK4_AB21_IOB129A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
49,cbus_sclk,AA21,C2400,11,BANK4_AA21_IOB126B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
50,cbus_iordy,P17,C2400,12,BANK4_P17_IOB135B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
51,cbus_irq_selected,AA20,C2400,13,BANK4_AA20_IOB126A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
52,cbus_dack_selected_n,N17,C2400,14,BANK4_N17_IOB135A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
53,cbus_drq_selected_n,AB20,C2400,15,BANK4_AB20_IOB110B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
54,cbus_word_n,AA19,C2400,17,BANK4_AA19_IOB110A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
55,cbus_dmatc_n,W20,C2400,19,BANK4_W20_IOB122B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
56,cbus_b40_exhrq1_n,N15,C2400,20,BANK4_N15_IOB146A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
57,cbus_b47_exhrq2_n,W19,C2400,21,BANK4_W19_IOB122A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
58,cbus_b42_exhla1_n,N13,C2400,22,BANK4_N13_IOB142A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
59,cbus_b46_exhla2_n,AB18,C2400,23,BANK4_AB18_IOB108B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
60,cbus_b48_sbusrq,N14,C2400,24,BANK4_N14_IOB142B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
61,lvc_data_dir,AA18,C2400,25,BANK4_AA18_IOB108A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
62,lvc_data_oe_n,Y19,C2400,27,BANK4_Y19_IOB116B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
63,lvc_iordy_oe_n,Y18,C2400,29,BANK4_Y18_IOB116A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
64,lvc_irq_oe_n,W17,C2400,31,BANK4_W17_IOB106B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
65,lvc_word_oe_n,V17,C2400,33,BANK4_V17_IOB106A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
66,lvc_addr_dir,U18,C2400,35,BANK4_U18_IOB112B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
67,lvc_addr_oe_n,U17,C2400,37,BANK4_U17_IOB112A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
68,lvc_cmd_dir,R16,C2400,49,BANK4_R16_IOB140B,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
69,lvc_cmd_oe_n,P15,C2400,51,BANK4_P15_IOB140A,4,LVCMOS33,tang_mega_138k_30353_Schematics.pdf sheet 6
