endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
47,cbus_reset_n,cbus_signal,cbus_reset_n_i,host_ctl_in,input,SO-DIMM-204,44,LVDS_RX2_P,1,3.3V,io8_sync_min,tang_primer20k,
48,cbus_power_n,cbus_signal,cbus_power_n_i,host_ctl_in,input,SO-DIMM-204,46,LVDS_RX2_N,1,3.3V,io8_sync_min,tang_primer20k,
49,cbus_sclk,cbus_signal,cbus_sclk_i,host_ctl_in,input,SO-DIMM-204,50,LVDS_RX1_N,1,3.3V,io8_sync_min,tang_primer20k,
50,cbus_iordy,cbus_signal,cbus_iordy_o,target_resp_ts,output,SO-DIMM-204,52,LVDS_RX1_P,1,3.3V,io8_sync_min,tang_primer20k,
51,cbus_irq_selected,carrier_selected_signal,cbus_irq_assert,irq_selected,output,SO-DIMM-204,73,LVDS_IOT40_N,1,3.3V,io8_sync_min,tang_primer20k,IRQ number and TS/OC output path remain a carrier setting; no IRQ pin is hard-coded in common IP.
52,cbus_dack_selected_n,carrier_selected_signal,cbus_dack_n_i,dma_in,input,SO-DIMM-204,74,LVDS_IOT38_N,1,3.3V,target24_dma,tang_primer20k,DMA channel/slot mapping remains a carrier setting.
53,cbus_drq_selected_n,carrier_selected_signal,cbus_drq_n_assert,dma_out_oc,output,SO-DIMM-204,75,LVDS_IOT40_P,1,3.3V,target24_dma,tang_primer20k,DMA channel/slot mapping remains a carrier setting.
54,cbus_word_n,cbus_signal,cbus_word_n_o,dma_out_ts,output,SO-DIMM-204,76,LVDS_IOT38_P,1,3.3V,target24_dma,tang_primer20k,
55,cbus_dmatc_n,cbus_signal,cbus_dmatc_n_i,dma_in,input,SO-DIMM-204,78,LVDS_IOT36_N,1,3.3V,target24_dma,tang_primer20k,
56,cbus_b40_exhrq1_n,cbus_signal,cbus_exhrq1_n_assert,gen_mux_b40,output,SO-DIMM-204,80,LVDS_IOT36_P,1,3.3V,target24_busmaster,tang_primer20k,This profile reserves the 286+ EXHRQ1 use; 8086 CPKILL tri-state output needs a separate later profile/path.
