endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
17,cbus_ab_16,cbus_signal,cbus_ab_i/o/oe_req[16],addr_hi,bidir,C2399,28,BANK2_D16_IOR6B,2,3.3V,mem8_20bit_min,tang_mega138k,
18,cbus_ab_17,cbus_signal,cbus_ab_i/o/oe_req[17],addr_hi,bidir,C2399,29,BANK2_C17_IOR26B,2,3.3V,mem8_20bit_min,tang_mega138k,
19,cbus_ab_18,cbus_signal,cbus_ab_i/o/oe_req[18],addr_hi,bidir,C2399,30,BANK2_E16_IOR6A,2,3.3V,mem8_20bit_min,tang_mega138k,
20,cbus_ab_19,cbus_signal,cbus_ab_i/o/oe_req[19],addr_hi,bidir,C2399,31,BANK2_D17_IOR26A,2,3.3V,mem8_20bit_min,tang_mega138k,
21,cbus_ab_20,cbus_signal,cbus_ab_i/o/oe_req[20],addr_hi,bidir,C2399,34,BANK2_D15_IOR4B,2,3.3V,target24_full,tang_mega138k,
22,cbus_ab_21,cbus_signal,cbus_ab_i/o/oe_req[21],addr_hi,bidir,C2399,35,BANK2_A16_IOR20B,2,3.3V,target24_full,tang_mega138k,
23,cbus_ab_22,cbus_signal,cbus_ab_i/o/oe_req[22],addr_hi,bidir,C2399,36,BANK2_D14_IOR4A,2,3.3V,target24_full,tang_mega138k,
24,cbus_ab_23,cbus_signal,cbus_ab_i/o/oe_req[23],addr_hi,bidir,C2399,37,BANK2_A15_IOR20A,2,3.3V,target24_full,tang_mega138k,
25,cbus_db_00,cbus_signal,cbus_db_i/o/oe_req[0],data,bidir,C2399,48,BANK3_J16_IOR109A,3,3.3V,io8_sync_min,tang_mega138k,
26,cbus_db_01,cbus_signal,cbus_db_i/o/oe_req[1],data,bidir,C2399,50,BANK3_J17_IOR58B,3,3.3V,io8_sync_min,tang_mega138k,
27,cbus_db_02,cbus_signal,cbus_db_i/o/oe_req[2],data,bidir,C2399,52,BANK3_K17_IOR58A,3,3.3V,io8_sync_min,tang_mega138k,
28,cbus_db_03,cbus_signal,cbus_db_i/o/oe_req[3],data,bidir,C2399,54,BANK3_H15_IOR101B,3,3.3V,io8_sync_min,tang_mega138k,
29,cbus_db_04,cbus_signal,cbus_db_i/o/oe_req[4],data,bidir,C2399,56,BANK3_J15_IOR101A,3,3.3V,io8_sync_min,tang_mega138k,
30,cbus_db_05,cbus_signal,cbus_db_i/o/oe_req[5],data,bidir,C2399,58,BANK3_H14_IOR103B,3,3.3V,io8_sync_min,tang_mega138k,
31,cbus_db_06,cbus_signal,cbus_db_i/o/oe_req[6],data,bidir,C2399,60,BANK3_J14_IOR103A,3,3.3V,io8_sync_min,tang_mega138k,
32,cbus_db_07,cbus_signal,cbus_db_i/o/oe_req[7],data,bidir,C2399,62,BANK3_G16_IOR105B,3,3.3V,io8_sync_min,tang_mega138k,
33,cbus_db_08,cbus_signal,cbus_db_i/o/oe_req[8],data,bidir,C2399,64,BANK3_G15_IOR105A,3,3.3V,io16_sync_min,tang_mega138k,
34,cbus_db_09,cbus_signal,cbus_db_i/o/oe_req[9],data,bidir,C2399,66,BANK3_G13_IOR98B,3,3.3V,io16_sync_min,tang_mega138k,
35,cbus_db_10,cbus_signal,cbus_db_i/o/oe_req[10],data,bidir,C2399,68,BANK3_H13_IOR98A,3,3.3V,io16_sync_min,tang_mega138k,
36,cbus_db_11,cbus_signal,cbus_db_i/o/oe_req[11],data,bidir,C2400,10,BANK3_M17_IOR73A,3,3.3V,io16_sync_min,tang_mega138k,
37,cbus_db_12,cbus_signal,cbus_db_i/o/oe_req[12],data,bidir,C2400,16,BANK3_M16_IOR67B,3,3.3V,io16_sync_min,tang_mega138k,
38,cbus_db_13,cbus_signal,cbus_db_i/o/oe_req[13],data,bidir,C2400,18,BANK3_M15_IOR67A,3,3.3V,io16_sync_min,tang_mega138k,
39,cbus_db_14,cbus_signal,cbus_db_i/o/oe_req[14],data,bidir,C2400,32,BANK3_M13_IOR56A,3,3.3V,io16_sync_min,tang_mega138k,
40,cbus_db_15,cbus_signal,cbus_db_i/o/oe_req[15],data,bidir,C2400,34,BANK3_L13_IOR56B,3,3.3V,io16_sync_min,tang_mega138k,
41,cbus_ior_n,cbus_signal,cbus_ior_n_i/o/oe_req,cmd_bidir,bidir,C2400,2,BANK4_W22_IOB124B,4,3.3V,io8_sync_min,tang_mega138k,
42,cbus_iow_n,cbus_signal,cbus_iow_n_i/o/oe_req,cmd_bidir,bidir,C2400,3,BANK4_Y22_IOB131B,4,3.3V,io8_sync_min,tang_mega138k,
43,cbus_mrc_n,cbus_signal,cbus_mrc_n_i/o/oe_req,cmd_bidir,bidir,C2400,4,BANK4_W21_IOB124A,4,3.3V,mem8_20bit_min,tang_mega138k,
44,cbus_mwc_n,cbus_signal,cbus_mwc_n_i/o/oe_req,cmd_bidir,bidir,C2400,5,BANK4_Y21_IOB131A,4,3.3V,mem8_20bit_min,tang_mega138k,
45,cbus_mwe_n,cbus_signal,cbus_mwe_n_i/o/oe_req,cmd_bidir,bidir,C2400,6,BANK4_V20_IOB120B,4,3.3V,mem8_20bit_min,tang_mega138k,
46,cbus_bhe_n,cbus_signal,cbus_bhe_n_i/o/oe_req,cmd_bidir,bidir,C2400,7,BANK4_AB22_IOB129B,4,3.3V,io16_sync_min,tang_mega138k,
47,cbus_reset_n,cbus_signal,cbus_reset_n_i,host_ctl_in,input,C2400,8,BANK4_U20_IOB120A,4,3.3V,io8_sync_min,tang_mega138k,
48,cbus_power_n,cbus_signal,cbus_power_n_i,host_ctl_in,input,C2400,9,BANK4_AB21_IOB129A,4,3.3V,io8_sync_min,tang_mega138k,
49,cbus_sclk,cbus_signal,cbus_sclk_i,host_ctl_in,input,C2400,11,BANK4_AA21_IOB126B,4,3.3V,io8_sync_min,tang_mega138k,
50,cbus_iordy,cbus_signal,cbus_iordy_o,target_resp_ts,output,C2400,12,BANK4_P17_IOB135B,4,3.3V,io8_sync_min,tang_mega138k,
51,cbus_irq_selected,carrier_selected_signal,cbus_irq_assert,irq_selected,output,C2400,13,BANK4_AA20_IOB126A,4,3.3V,io8_sync_min,tang_mega138k,IRQ number and TS/OC output path remain a carrier setting; no IRQ pin is hard-coded in common IP.
52,cbus_dack_selected_n,carrier_selected_signal,cbus_dack_n_i,dma_in,input,C2400,14,BANK4_N17_IOB135A,4,3.3V,target24_dma,tang_mega138k,DMA channel/slot mapping remains a carrier setting.
53,cbus_drq_selected_n,carrier_selected_signal,cbus_drq_n_assert,dma_out_oc,output,C2400,15,BANK4_AB20_IOB110B,4,3.3V,target24_dma,tang_mega138k,DMA channel/slot mapping remains a carrier setting.
54,cbus_word_n,cbus_signal,cbus_word_n_o,dma_out_ts,output,C2400,17,BANK4_AA19_IOB110A,4,3.3V,target24_dma,tang_mega138k,
55,cbus_dmatc_n,cbus_signal,cbus_dmatc_n_i,dma_in,input,C2400,19,BANK4_W20_IOB122B,4,3.3V,target24_dma,tang_mega138k,
